id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
7279,Drama,"Kees Brusse, Ton Lensink, Dora van der Groen, Karin Kilian, Henny Orri, Manon Alving, Sacco van der Made, Philippe de Chérisey, Gilbert Bremans, Luc Joris, Jean Pascal, Peter Römer, Romain Deconinck, Michael Fasbender, Monique Audier",Bert Haanstra,Anton Koolhaas,"Nederlands Instituut voor Beeld en Geluid, Bert Haanstra Films",Bert Haanstra,nl,105,6
7280,Documentary,"Ross McElwee, Ed Bivens, Paula Larke, Brian Baucom, Charleen Swansea, Patricia Neal, Emily Madison, Robbie Lane Jackson, Tom McElwee, Howard McPherson, Alan Gurganus, Jamie McPhail, Ashzi Welborn, Elizabeth King, Vlada Petrić, James MacDougal, Dooley Strange, Jack Clayton, Jim Lewis, William E. Smith, Marian Fitz-Simmons, Sherwood Stewart, R. Bullock, Kerry Walter, Kitty Fisher, Mack Lackey, Susan Bennett, Mary Clayton, John McElwee, Jack Rhodes, Steve Herman, Adrian McElwee, David Williamson, Kathleen Money, Jamie Newnam, Matti McClain",Ross McElwee,,"Channel 4 Television, WGBH, Homemade Movies",Ross McElwee,en,108,6.9
7281,,,Robert Niemack,,,,en,79,6.2
7282,"Horror, Fantasy","José Nivaldo, Lourenço B. Rocha, José Barbosa, Luzia Zaracausca, Andreia Bryan, Valter Setembro, Anadir Goe, Maria Helena Zeferino, Jayme Cortez, Shirley da Conceição, Magda Miller, Lirio Bertelli, José Mojica Marins, Vitor Perrici, Sandoval Felix, Jorge Peres, Alexa Brandwira, Elza Ferreira, Lenira Galdino, João Paulo Ramalho, Neiva Aparecida, Natalina Barbosa, João da Cruz, Drival Gonçalves",José Mojica Marins,"Rubens Francisco Lucchetti, José Mojica Marins",Produções Cinematográficas Zé do Caixão,José Mojica Marins,pt,84,4.9
7283,Documentary,"Ben Fine, Ken Loach, Dani Rodrik, Naomi Klein, Dean Baker, Luis Sepulveda, Alex Callinicos, Slavoj Žižek, Costas Douzinas, Greg Palast","Katerina Kitidi, Aris Chatzistefanou","Katerina Kitidi, Leonidas Vatikiotis, Aris Chatzistefanou",Moviementa Productions,,el,87,6.6
7284,Drama,"Christy Crowley, Ashley Ryan, Noah Haydon, Crystal Dawson, Derek Lux, Meg Burt",Byron Gatt,"Derek Lux, Byron Gatt",,,de,80,5
7285,"Action, Thriller","Larry Lee Gam-Kwan, Chin-Kun Li, Lau Ga-Yung, Dana, Ho Tsung-Tao, Chan Sing, Chi Yi-hsiung, Chi Ling Chiu, Bolo Yeung, Ju Fang",Yang Chi-yao,,Hai Hua Cinema Company,,zh,80,5
7286,"Comedy, Adventure, Drama","Calista Fooks, Deanna Ortuso, Barry Morgan, Kaarin Fairfax, Joanne Nguyen, Clayton Jacobson",Christopher Kay,Deanna Ortuso,Sidebar Productions,"Deanna Ortuso, Joanne Nguyen, Chiu Keng Guan, Rohan Peters",en,106,5
7287,Drama,"Noortje Herlaar, Egbert Jan Weeber, Matthijs van de Sande Bakhuyzen, Keet Padberg, Ineke Swanevelt, Julia Herfst, David Hofland, Robbert Bleij, Theo de Groot, Helen Juurlink, Sadettin Kirmiziyüz, Christopher Parren, Jasper Langelaan, Willem van Boekel, Vincent Croiset, Hanne Arendzen, Gonca Karasu, Dries Smits, Anneke Blok",Ben Verbong,,,Ben Verbong,nl,118,7.5
7288,"Comedy, Documentary",Billy Crystal,"Paul Flaherty, Steven J. Santos",,,,en,72,6
7289,"Romance, TV Movie","Gabrielle Jennings, Kathryn Kohut, Evert Houston, Chelsea Woods, Jordan Blais, Janice Mendes, Jonathan Keltz, Clark Backo, JMendes Toronto, Mary Long, Tim Progosh, Erin Eldershaw, Chris Violette",Max McGuire,Claire Ross Dunn,"MarVista Entertainment, Neshama Entertainment, Lodge Productions","Hayden Baptiste, Hannah Pillemer, Fernando Szew, Arnie Zipursky, Marianne C. Wunch, Andrew C. Erin",en,80,6.778
7290,Documentary,,"Stan Zambeaux, Edouard Zambeaux",,Magnéto Prod,,fr,90,8.3
7291,"Drama, Adventure, Family","Steven Almasi, Mathews Joseph, Tishi Abdalah, Tolick Schemakov",Rodrick Mkamba,,Bongo Brothers Ltd,Mathews Joseph,sw,74,10
7292,Family,"Sanghavi, Meena, Radhika Sarathkumar, Sudhakar, Mallikarjuna Rao, Anandaraj, Kota Srinivasa Rao, Kaikala Satyanarayana, Venkatesh",Bhimaneni Srinivasa Rao,,,R. B. Choudary,te,163,6.875
7293,"Drama, History","Sara Powell, Louise Jameson, Adrian Scarborough, David Hounslow, Nadia Albina, Nicholas Bishop, Stephanie Jacob, Amanda Hadingue, Adam Karim, Wilf Scolding, Harry Kershaw, Mark Gatiss, Andrew Joshi, Jack Holden, Debra Gillett, Jessica Temple, Billy Postlethwaite",Adam Penford,Alan Bennett,National Theatre,,en,132,6
7294,Drama,"Dean Stockwell, Viva, Bernhard Wicki, Justin Hogg, Harry Dean Stanton, Jeni Vici, Tom Farrell, The Mydolls, John Lurie, Hunter Carson, Aurore Clément, Claresie Mobley, Edward Fayton, Sharon Menzel, Socorro Valdez, Sally Norvell, Sam Berry, Nastassja Kinski",Wim Wenders,"Sam Shepard, Walter Donohue, L.M. Kit Carson","Pro-ject Filmproduktion, Argos Films, WDR, Road Movies, Film4 Productions","Chris Sievernich, Anatole Dauman, Don Guest, Wim Wenders",en,145,8.095
7295,Crime,"Gessy Gesse, Orlando Senna, Nilda Spencer, Conceição Senna, Baby Consuelo",Álvaro Guimarães,,Lauper Filmes,Orlando Senna,pt,85,5
7296,"Horror, Fantasy, Thriller","Alma Pichardi, Santo, Fernando Osés, Altia Michel, Mary Montiel, Guillermo Hernández, Ramón Bugarini, Crox Alvarado, Lorena Velázquez, Edaena Ruiz, María Eugenia San Martín",José Díaz Morales,Rafael García Travesí,"Cinecomisiones, Filmica Vergara Comisiones",,es,76,6.462
7297,"Drama, Western","Stella Stevens, Josh Taylor, Tricia O'Neil, George Furth, Christopher Connelly, Clu Gulager, Pernell Roberts, Ralph Bellamy, Wallace Rooney, Carmen Mathews, Blair Brown",Richard Michaels,"Peter S. Fischer, William Link, Richard Levinson","Universal Television, Fairmont/Foxcroft Productions",,en,100,6
7298,"Drama, Romance","James McAvoy, Christian Coulson, Bill Hader, Nikki M. James, Isabelle McNally, Ciarán Hinds, Isabelle Huppert, Jimmy Palumbo, Jessica Chastain, Viola Davis, Nina Arianda, Marta Milans, Rafael Feldman, Nicole Neuman, Susanna Guzman, Jeremy Shamos, Musto Pelinkovicci, Johnathan Fernandez, Justine Salata",Ned Benson,Ned Benson,"Dreambridge Films, Unison Films, Myriad Pictures, Kim and Jim Productions, Division Films","Cassandra Kulukundis, Ned Benson, Jessica Chastain",en,89,6.704
7299,"Drama, Family","Filimon Sergeyev, Yevgeniy Kraynov, Sergey Nerobeev, Ivan Vlasov, Mikhail Burlakov, Lyanka Gryu, Yulia Rogachkova, Tatyana Kravchenko, Yekaterina Vasilyeva, Olga Sirina, Valeriy Magdyash, Tatyana Yakovenko, Semyon Furman, Nadezhda Markina, Dmitry Prokofyev, Elena Drobysheva, Aleksey Panin, Olga Mashnaya, Albert Filozov, Ivan Okhlobystin, Valentina Svetlova, Oksana Arbuzova, Tatyana Dogileva, Valeriy Priyomykhov, Oleg Marusev, Nikolay Chindyaykin, Artur Smolyaninov",Valeriy Priyomykhov,Valeriy Priyomykhov,"Kuryer Film Studio, Mosfilm","Galina Shadur, Karen Shakhnazarov",ru,89,5.1
7300,Horror,"Derek Nelson, Kris Mainwaring, David Duke, Matt Squance, James Craigie, Bibi Lucille",Daniel Mark Young,Daniel Mark Young,"Viral Films UK, Death Vault Productions, Bloody Flicks","Michelle Craigie, James Craigie, Kris Mainwaring",en,82,7.5
7301,Drama,"Janice Vieira, Ademir Feliziane, Paulo Betti, Renato Gomes, Letícia Tambucci, José Mayer, Rafael Romão Silva, Mario Pérsico, João Leopoldo, José Desidério, Juliana Betti, Grazielle Almeida, Makarius Barcelos, Clara Nolasco, Lola Costa, Eliane Giardini, Muriel Aronchi, Cristina Labronici, João Brotas, Dom Theodoro Oliveira, Vania Gonçalvez","Eliane Giardini, Paulo Betti","Eliane Giardini, Paulo Betti, Henry James, Luís Artur Nunes, Rafael Romão Silva","Batuta Filmes, Canal Brasil, Globo Filmes, Prole de Adão Produções Artísticas",Paulo Betti,pt,90,8
7302,"Thriller, Action, Romance","Ren Osugi, Kei Marimura, Atsushi Okuno, Minori Terada, Makiko Watanabe",Toshiharu Ikeda,"Setsu Yamaguchi, Tamiya Takebashi",,,ja,100,6.167
7303,Drama,"Kim Ja-young, Jung Ae-hwa, Jang Jun-whee, Seol Si-yeon",Lim Seung-hyeun,Lim Seung-hyeun,,,ko,100,5
7304,Comedy,"Sean Price Williams, Craig Butta, Jason Grisell, Theodore Bouloukos, Lindsay Burdge, Duker, John Link, Keith Poulson, Jeremy O. Harris, Jamie Granato, Owen Kline, Jason Giampietro, Stephen Gurewitz, Kate Lyn Sheil",Michael M. Bilandic,Michael M. Bilandic,Factory 25,Adam Ginsberg,en,67,5.125
7305,,"Jeremías Cabrera, Alejandro Cenario, Paula Pantaleón, Rutilia Barrera, Eugenio Santos, Silvestre Pantaleón, Ezequiel Herrera","Roberto Olivares Ruiz, Jonathan D. Amith","Roberto Olivares Ruiz, Jonathan D. Amith",,,en,65,5
7306,Drama,"Jerzy Szpunar, Maciej Maciejewski, Zbigniew Józefowicz, Saturnin Butkiewicz, Ludwik Benoit, Kazimierz Opaliński, Alicja Raciszówna, Janina Traczykówna, Ludwik Bednarek, Aleksander Sewruk, Jerzy Walczak, Zygmunt Malawski, Ludwik Wytysiński, Feliks Chmurkowski, Zbigniew Skowroński, Stanisław Milski, Włodzimierz Kwaskowski, Bronisław Pawlik, Ruth Taru-Kowalska, Józef Czerniawski, Zofia Goldberg, Bolesław Płotnicki, Henryk Staszewski, Jerzy Antczak, Zofia Perczyńska, Janusz Strachocki, Jadwiga Andrzejewska, Wojciech Zagórski, Lucyna Winnicka, Zofia Stefanska, Janusz Jaroń, Stanisław Jasiukiewicz, Tadeusz Kondrat, Józef Nowak, Kazimierz Wichniarz, Małgorzata Lorentowicz, Wacław Kowalski, Halina Przybylska, Józef Gliński",Jerzy Kawalerowicz,"Igor Newerly, Jerzy Kawalerowicz",WFF Lodz,,pl,112,5.5
7307,Comedy,"Wanda Jarszewska, Józef Orwid, Seweryna Broniszówna, Irena Skwierczyńska, Adolf Dymsza, Renata Radojewska, Michał Znicz, Andrzej Bogucki",Mieczysław Krawicz,,,,pl,74,8
7308,"Action, Crime, Drama","Tsutomu Yamazaki, Ryuji Katagiri, Asei Kobayashi, Gorō Mutsumi, Mikio Narita, Akira Shioji, Sanae Nakahara, Seizō Fukumoto, Rena Ichinose, Junkichi Orimoto, Tsunehiko Watase, Sonny Chiba, Kō Nishimura, Masataka Iwao, Shōtarō Hayashi, Nobuo Yana, Nenji Kobayashi, Masataka Naruse, Meiko Kaji, Bunta Sugawara, Takuzō Kawatani, Kan Mikami, Hideo Murota, Yuriko Hishimi, Asao Uchida",Kinji Fukasaku,"Susumu Saji, Kōji Takada, Yōzō Tanaka",Toei Company,,ja,94,7.083
7309,,"Stephanie Siao, Annie Wu, Li Xianglin, Qiu Zixin, Lia Lee, Alice Wang, Juuko Zhu, Yvonne Yao Cai-Ying, Bianca de la Garza",,,,,zh,86,7
7310,"Romance, Drama","Marie Rýdlová, František Filipovský, Bohdan Lachman, Antonín Jirsa, Robert Ford, Hermína Vojtová, Jan W. Speerger, Luigi Hofman, Jaroslav Vojta, Věkoslav Satoria, Václav Jalovec, Bedřiška Wardasová, Jan Sviták, F. X. Mlejnek, Saša Razov, Jan Chaloupka, Antonín Marlé, Karel Schleichert, Antonín Kuneš, Jarmila Beránková, Jaroslav Marvan, Václav Menger, Josef Dobeš, Josef Rovenský, Václav Piskáček, Rudolf Deyl, Emanuel Hříbal, Karel Němec",Josef Rovenský,"Saša Razov, Josef Rovenský, Jindřich Snížek, Jan Reiter",Reiter-film,,cs,75,6.2
7311,"Romance, TV Movie","Robert Gagne, Olivia Twarowski, Dwight Hicks, Kane Mazur, George J. Vezina, Julee Cerda, Andrea Martinez, Julia Reid, Courtney Gonzalez, Erin Wilson, Bart Johnson, David Boston, Rocky Myers, Evelyn Twarowski, Bill Salvatore, William Rubio, Cheikh M'Baye, Aurelia Williams, Jeorge Bennett Watson, Melissa Claire Egan, Lin Hult, Gary Galone, Latarsha Rose, Marc Blucas, Cassie Ray, Vanessa R. Butler, Ana Cornier, Pacific Blain, Darlena Tejeiro, John Allegra, Jeffrey Fryer, Emily Creighton, Patti Murin, D-Tension, Ineke Garbacz, Paul Tawczynski, Steven Michael Quezada",Clare Niederpruem,"Lisa Nanni-Messegee, Andrea Gyertson Nasfell, Todd Messegee",,,en,84,6.741
7312,"Western, Drama","Fred Hechinger, Miles Auckland, Duncan Vezain, Beckett Hofstad, Gabriel Clark, Amber Rose Mason, Jeff Medley, Harper Hofstad, Zuzu Weingart, Jeremy Bobb, Jesse Cilio, Matthew Padgett, Xander Berkeley, Lance Otto, Nicolas Cage, Rachel Keller, Paul Raci, Scott McCauley",Gabe Polsky,"John Williams, Liam Satre-Meloy, Gabe Polsky","Gabriel Polsky Productions, Phiphen Pictures, Altitude Film Entertainment, Ingenious Media, Saban Films, Saturn Films","Andy Mayson, Gabe Polsky, Molly Conners, Will Clarke",en,105,5.8
7313,Horror,"Nick Windebank, Sindy Faraguna, Nathan Durec, Dan Ellis",Ryan Nicholson,Ryan Nicholson,,,en,75,4.357
7314,Documentary,"Reut Cohen, Mike Berliner, Charlene Fowler, Andrew Bernstein, Clifford Asness, Christopher Cerf, Erin Fowler, Corey Bustamante, Yaron Brook, Dan Cloer, Harry Binswanger, Corey Clark, Northrup Buechner, James Ellias, Jennifer Burns, John Allison, Nicole Gelinas",Chris Mortensen,Chris Mortensen,,"John Corry, Fawaz Al-Matrouk, Chris Mortensen",en,87,5.6
7315,Drama,"Michel Duchaussoy, Mireille Darc, Monica Guerritore, Christian Barbier, Marie Déa, Henri Attal, Alain Delon, Geoffrey Carey, Muriel Catalá, André Falcon, Stefano Patrizi",Édouard Molinaro,"Paul Morand, Maurice Rheims, Christopher Frank",Adel Productions,"Ralph Baum, Raymond Danon, Alain Delon",fr,91,5.906
7316,Action,Louis Lombardi,"Neil Kinsella, Michael J. Hach",,,,en,90,4
7317,Documentary,"Mario Bernal, Hernan Torres, Daisy Torres",Violeta Ayala,"Violeta Ayala, Deborah Dickson, Kate Taverna, Nancy Baker",United Notions Film,"Cédric Bonin, Dan Fallshaw, Alexandra Daly",es,90,6.1
7318,,"Don Frye, Kitao Koji, Cal Worsham, Mark Hall, Mark Schultz, Ken Kilpatrick, Rafael Carino, Matt Andersen, Dan Severn, Amaury Bitetti, Zane Frazier, Steve Nelmark, Tai Bowden, Gary Goodridge",,,,,en,118,5.6
7319,Comedy,"Gilles Grangier, André Tomasi, Georges Audoubert, Michel Galabru, Anne-Marie Carrière, Bourvil, Fernandel, Georges Rostan, Claire Maurier, Mag-Avril, Edmond Ardisson, Georges Montal, Jean-Pierre Zola, Gaston Rey, Frédéric Gérard, Max Amyl, Laurence Lignières, Henri Vilbert, Evelyne Séléna, Roger Bernard, Henri Bon, Andrex, Henri Arius",Gilles Grangier,"Jean Manse, Pierre Lévy-Corti, Jean Le Vitte, Raymond Castans","Les Films Corona, Dear Film, Agnès Delahaie Productions",Robert Dorfmann,fr,100,6.601
7320,"Action, Adventure, History","Andrea Checchi, Carlo Micheluzzi, Enzo Musumeci Greco, Luciana Vedovelli, Massimo Girotti, Frank Latimore, Eduardo Ciannelli, Lauro Gazzolo, Angiola Faranda, Gisella Sofio, Françoise Rosay, Maria Frau",Antonio Leonviola,Luigi Bonelli,Bomba e Ci.,,fr,88,5
7321,"Action, Drama","Maurice Downs, Gary Lockwood, Pamela Parsons, Leslie Nielsen, Vic Silayan, Vic Diaz, Nancy Kwan, Galen Thompson, Carlos Salazar",William Girdler,"Galen Thompson, David Sheldon","Mid-America Pictures, Hollywood West Entertainment, Aquarius Releasing",David Sheldon,en,90,4.6
7322,"Drama, Comedy, Romance","Blanche Gardin, Maxence Tual, Ana Paula Motta, Nuno Lopes, Marthe Keller, Vincent Prades, Léa Mysius, Andrew Sanko Logan, Lisa Mirey, Patty Hannock, Lydie Bárbara, Louise Loeb, Samira Sedira, Isabel Cardoso, Laurent Lafitte, Pedro Lacerda, Carla Santana Viera, Enéa Vivrel-Fourrier, Elé Asu, Fernando Lupach",Céline Devaux,Céline Devaux,"France 3 Cinéma, Les films du Worso, SCOPE Pictures, O Som e a Fúria","Luís Urbano, Sylvie Pialat, Benoît Quainon",fr,95,6.051
7323,Drama,"Miluše Zoubková, Jan Hrušínský, Karel Brožek, Jaroslava Tichá, Jaroslava Benhartová, Blažena Slavíčková, Josef Vinklář, Miroslav Grác, Slávka Hamouzová, Ilona Svobodová, Jaromír Kučera, Josef Střecha, Josef Žluťák Hrubý, Šárka Štembergová, Zdeňka Balounová, Vilemína Nejedlová-Skokanová, Karel Heřmánek, Renáta Doleželová, Miriam Kantorková, Marie Horáková, Miloslav Homola, Ferdinand Krůta, Ladislav Krečmer",František Vláčil,"Miroslav Hladký, Irena Charvátová, František Vláčil",Filmové studio Barrandov,,cs,87,6.2
7324,Documentary,"Edson Padilla Fuentes, Moisés Gustavo, Lester Oseguera, Miguel Santiago, Frank Erik Gómez, José Carlos González Ochoa, Luis Alberto, Daniela Ordoñez, Alberto Reynoso Mandujano, Carlos Ramos, Oficial Mariscal, José Alanís Villarreal, Esperanza Martinez, Ana Luz Alemán, Jeymi Mejía, José Antonio, María Lidia Meza, Megan Ortiz, Christian López, Jaqueline Soto, Alexander de Honduras, Arnold Javier Hernández, Frank Martinez II, Margarita Vargas, Sergio Ramos Buendía Velázquez, Lizbeth Cortéz, Carlos Humberto Aguilera, Mauricio Benitez, Wilson Martinez, Lic. Jaime Valencia, María Hernández, Alfredo Álvarez, Walter Regalado, Eduardo Ávila, José Pineda Ramos, Joel Hernandez Pinar Bonilla, Yanina Romero, Milton Benitez, Ritsi Marbellí Barrales Rivera, Joshua Nichols, Juan Carlos",Arturo Pulido,Arturo Pulido,"La trifulca Project, Film Klapp","Jane Arapawe, Arturo Pulido",en,95,10
7325,"Action, Comedy","Mark Russo, Tracy Phillips, Drew Stewart, Ken Daurio, Jade Rouggiero, Michael Madsen, Sissy St. John, Aaron Bruno, Jessica Ballard","Ken Daurio, Darren Doane","Ken Daurio, Darren Doane",,,en,90,5
7326,"Horror, Mystery","Erik Chavez, Rachel Riley, Monty Wall, Carl Edge, Matt O'Neill, Vernon Wells",Benjamin Cooper,"Benjamin Cooper, Edgar Allan Poe, Carl Edge","Millman Productions, Thunderhead Entertainment",Benjamin Cooper,en,89,5
7327,Horror,"Shigemitsu Ogawa, Chikako Yuri, Risa Yamagishi, Masahiko Nishimura, Misato Tanaka, Shinobu Otake, Toshie Kobayashi, Michiko Iwahashi, Shun Hariya, Kou Machida, Ayaka Komine, Katsunobu Ito, Kenichi Katsura, Koji Sato, Daikichi Sugawara, Kaoru Kobayashi, Renji Ishibashi, Machiko Washio, Seiyo Uchino, Yuusuke Kishi, Masayoshi Yamazaki",Yoshimitsu Morita,"Sumio Omori, Yuusuke Kishi",Asmik Ace Entertainment,,ja,118,6.5
7328,Drama,"Pál Mácsai, Szilvia Herr, Judit Rezes, Csaba Polgár, Olívia Csúcs, Judit Schell, Judit Lénárt, Kristóf Vajda, Zsanna Lehóczki, Dávid Rácz, Róbert Kardos",Mihály Schwechtje,Mihály Schwechtje,AmegO Film,"Ferenc Pusztai, Viktória Petrányi",hu,96,6.865
7329,"Comedy, Drama","Yogesh, Divya Spandana",Vijaya Prasad,,,,kn,138,8
7330,"Music, Comedy","Dale Evans, Stanley Brown, Charles Williams, Harriette Haddon, Kenneth Rundquist, Fred Santley, Sheila Stuart, Mary Emery, Sam Ash, George Sherwood, Patti Posten, Dick Scott, George Boyce, Melva Anstead, Tom Dillon, Wendell Niles, Marian Kerrigan, Bob Alden, Horace B. Carpenter, Irving Bacon, Geraldine Farnum, Martha Carroll, Florence Pepper, John Wald, Syd Saylor, Robert J. Wilke, Robert Strong, Frank Mayo, Gayne Whitman, Mike Lally, Maude Eburne, Lynne Romer, Roy Brent, Bobbie Dorree, Jack Gargan, George Golden, Fred Howard, Jean Romer, Wilbur Mack, Al Pearce, Arlene Harris, Nolan Leary, Dale Van Sickel, Arlyn Roberts, William Frawley, Larry Steers, Rosemonde James, Lucille Byron, Dorothy Stevens, Joe Niemeyer, Joyce Compton, Willy Trenk-Trebitsch, Bert Moorhouse, Al Eben, Rose Marie Morel, Charles Murray Jr., Beverly Reedy, Kenne Duncan, Jerome Cowan, Wheaton Chambers, Bill Alcorn",Joseph Santley,Jack Townley,Republic Pictures,,en,74,5
7331,Documentary,"Terry Allen, David Byrne",Scott Ballew,,,,en,65,5.8
7332,"Action, Comedy","Yuen Biao, Shun Lau, Kara Wai Ying-Hung, Law Kar-Ying, Elvis Tsui Kam-Kong, Hao Shaowen, Vivian Hsu, Wang Mawan, Ashton Chen",Ha Sao Hin,"Kai-Chung Mak, Biu Cheung Lee",,,cn,89,6.4
7333,Documentary,"Karl Merkatz, Christina Kolin",Christian Kurt Weisz,"Christian Kurt Weisz, Marcus Halbig","Media Halbig (AT), Cult-Filmproduktionsges.m.b.H.",,de,60,8
7334,Romance,"Taryn Hacker, Leon Bassett, Sage Kermes, Andrea Boehlke, Cody Calafiore, Jon Hacker, Benjamin Bryant, Andrew Fama, Brian Tyler Cohen, Jennifer Bassey, Yan-Kay Crystal Lowe, Jonathan Liveng, Frank Whaley, Terri Garber, Carrie Genzel, Patrick Muldoon, Sal Rendino, Al Sapienza",Candice T. Cain,,"Gemelli Films, Bryant Zamberlan Group",,en,75,6.3
7335,Comedy,"Nadja Tiller, Adriano Rimoldi, Catherine Spaak, Rosita Pisano, Bernhard Wicki, Giuseppe Grasso, Annamaria Mustari, Sandro Dori, Fulvia Franco, Gastone Moschin, Corrado Olmi, Luigi Borghese, Enrico Maria Salerno, Lilla Brignone, Vittorio Gassman, Nino Manfredi, Lilli Palmer, Claudia Mori","Nino Manfredi, Alberto Bonucci, Sergio Sollima, Luciano Lucignani","Ettore Scola, Mario Soldati, Giuseppe Orlandini, Guglielmo Santangelo, Sandro Continenza, Renato Mainardi, Ercole Patti, Italo Calvino, Alberto Moravia","Eichberg-Film, SPA Cinematografica",Achille Piazzi,it,115,6
7336,"Comedy, Romance","Tate Donovan, Peter Jacobson, Carolina Parsons, Matt Malloy, Jeffrey Tambor, Courteney Cox, Elina Löwensohn, Anne Meara, Kelly De Martino, Peter Bartlett, Reg Rogers, Peter Appel, Kasia Tambor, Vincent Gallo",Justin McCarthy,Justin McCarthy,"Giv'en Films, Lions Gate Films","Michael Paseornek, Daniela Taplin Lundberg, Galt Niederhoffer, Joana Vicente, Jeff Sackman, Randy Simon",en,95,4.2
7337,"Horror, Thriller","James Gandhi, Tara Ellis, James Burrows, Michael Fassbender, Finn Atkins, Lorraine Bruce, Jack O'Connell, Shaun Dooley, Lorraine Stanley, Tom Gill, Kelly Reilly, Mark Devenport, Jumayn Hunter, Bronson Webb, Rachel Gleeves, Thomas Turgoose, Alex Palmer",James Watkins,James Watkins,"Rollercoaster Films, Aramid Entertainment Fund","Christian Colson, Richard Holmes, Conor McCaughan",en,91,6.8
7338,"Drama, Romance, Comedy","Nitchanart Pommart, Anusha Wiangwang, Nattapat Nimjirawat, สาริฟา จรเจนวุฒิ, M Phurin, Phiravich Attachitsataporn, Sueangsuda Lawanprasert, คมสัน แดร์เดา",Sarawut Wichiensarn,"Thanyathorn Siwanukroh, Peerasak Saksiri",,,th,114,4.5
7339,"History, Documentary","Tom Campbell Black, Charles Lefeaux, Hilary Pritchard, Cameron Hall, Derrick De Marney, Anthony Holles, Edward Ashley, Bryan Coleman, Paul Codos, Amelia Earhart, Leonard Shepherd, John Turnbull, Denville Bond, Betty Kirby-Green, Maurice Rossi, Charles Carrett, Henry Hallatt, Frederick Culley, Amy Johnson, David Nicol, Margaretta Scott, Laurence Olivier, Michael Rennie, Bryan Powley, Hay Petrie, Italo Balbo, Franklin Dyall, C.W.A. Scott, Peter Madden, Henry Victor, Charles A. Lindbergh, Charles Hickman, David Horne, Charles Kingsford Smith, Pearl Hay, Percy Marmont, Ben Webster, Kenneth Kove, Alan Wheatley, Andrea Checchi, Bert Hinkler, Don Gemmell, Ronnie Hepworth, Dick Vernon, Carlo Ninchi, Memo Benassi, Roy Royston, Arthur Clouston, John Abbott, Charles Frend","John Monk Saunders, Alexander Esway, Alexander Shaw, Zoltan Korda, Donald Taylor","John Monk Saunders, Hugh Gray, Peter Bezencenet, Antoine de Saint-Exupéry",London Films Productions,Alexander Korda,en,71,4.2
